2023-03-22 20:11:35,808 - root - INFO - Main - acquire a child logger and then log messages in the child
2023-03-22 20:11:35,844 - DiscoveryAppln - DEBUG - Main: parse command line arguments
2023-03-22 20:11:35,860 - DiscoveryAppln - DEBUG - Main: resetting log level to 20
2023-03-22 20:11:35,861 - DiscoveryAppln - INFO - DiscoveryAppln::configure
2023-03-22 20:11:35,862 - DiscoveryAppln - INFO - Pingu::readDhtJson - start
2023-03-22 20:11:35,862 - DiscoveryAppln - INFO - Pingu::readDhtJson - generate finger table
2023-03-22 20:11:35,862 - DiscoveryAppln - INFO - Pingu::setFingerTable - start
2023-03-22 20:11:35,863 - DiscoveryAppln - INFO - Pingu::getNextNode - 84626096113872
2023-03-22 20:11:35,863 - DiscoveryAppln - INFO - Pingu::getNextNode - 84626096113872
2023-03-22 20:11:35,863 - DiscoveryAppln - INFO - Pingu::getNextNode - 84626096113872
2023-03-22 20:11:35,863 - DiscoveryAppln - INFO - Pingu::setFingerTable - end
2023-03-22 20:11:35,863 - DiscoveryAppln - INFO - Pingu::readDhtJson - end
2023-03-22 20:11:35,863 - DiscoveryAppln - INFO - DiscoveryMW::configure
2023-03-22 20:11:35,865 - DiscoveryAppln - INFO - DiscoveryMW::configure completed
2023-03-22 20:11:35,865 - DiscoveryAppln - INFO - DiscoveryAppln::configure - configuration complete
2023-03-22 20:11:35,865 - DiscoveryAppln - INFO - DiscoveryAppln::driver
2023-03-22 20:11:35,865 - DiscoveryAppln - INFO - **********************************
2023-03-22 20:11:35,865 - DiscoveryAppln - INFO - DiscoveryAppln::dump
2023-03-22 20:11:35,865 - DiscoveryAppln - INFO -      Name: disc12
2023-03-22 20:11:35,865 - DiscoveryAppln - INFO -      Number of publishers: 5
2023-03-22 20:11:35,866 - DiscoveryAppln - INFO -      Number of subscribers: 5
2023-03-22 20:11:35,866 - DiscoveryAppln - INFO -      Number of brokers: 1
2023-03-22 20:11:35,866 - DiscoveryAppln - INFO -      Number of nodes in distributed hash table: 48
2023-03-22 20:11:35,866 - DiscoveryAppln - INFO -      Lookup: Centralized
2023-03-22 20:11:35,866 - DiscoveryAppln - INFO -      Dissemination: Direct
2023-03-22 20:11:35,867 - DiscoveryAppln - INFO - Finger Table for this entity:
2023-03-22 20:11:35,867 - DiscoveryAppln - INFO - Current node: 270486116869493, Successor node:84626096113872
2023-03-22 20:11:35,867 - DiscoveryAppln - INFO - Current node: 270486116869494, Successor node:84626096113872
2023-03-22 20:11:35,867 - DiscoveryAppln - INFO - Current node: 270486116869496, Successor node:84626096113872
2023-03-22 20:11:35,867 - DiscoveryAppln - INFO - Current node: 270486116869500, Successor node:84626096113872
2023-03-22 20:11:35,867 - DiscoveryAppln - INFO - Current node: 270486116869508, Successor node:84626096113872
2023-03-22 20:11:35,867 - DiscoveryAppln - INFO - Current node: 270486116869524, Successor node:84626096113872
2023-03-22 20:11:35,868 - DiscoveryAppln - INFO - Current node: 270486116869556, Successor node:84626096113872
2023-03-22 20:11:35,868 - DiscoveryAppln - INFO - Current node: 270486116869620, Successor node:84626096113872
2023-03-22 20:11:35,868 - DiscoveryAppln - INFO - Current node: 270486116869748, Successor node:84626096113872
2023-03-22 20:11:35,868 - DiscoveryAppln - INFO - Current node: 270486116870004, Successor node:84626096113872
2023-03-22 20:11:35,868 - DiscoveryAppln - INFO - Current node: 270486116870516, Successor node:84626096113872
2023-03-22 20:11:35,868 - DiscoveryAppln - INFO - Current node: 270486116871540, Successor node:84626096113872
2023-03-22 20:11:35,868 - DiscoveryAppln - INFO - Current node: 270486116873588, Successor node:84626096113872
2023-03-22 20:11:35,868 - DiscoveryAppln - INFO - Current node: 270486116877684, Successor node:84626096113872
2023-03-22 20:11:35,868 - DiscoveryAppln - INFO - Current node: 270486116885876, Successor node:84626096113872
2023-03-22 20:11:35,868 - DiscoveryAppln - INFO - Current node: 270486116902260, Successor node:84626096113872
2023-03-22 20:11:35,868 - DiscoveryAppln - INFO - Current node: 270486116935028, Successor node:84626096113872
2023-03-22 20:11:35,868 - DiscoveryAppln - INFO - Current node: 270486117000564, Successor node:84626096113872
2023-03-22 20:11:35,868 - DiscoveryAppln - INFO - Current node: 270486117131636, Successor node:84626096113872
2023-03-22 20:11:35,868 - DiscoveryAppln - INFO - Current node: 270486117393780, Successor node:84626096113872
2023-03-22 20:11:35,869 - DiscoveryAppln - INFO - Current node: 270486117918068, Successor node:84626096113872
