2023-03-22 20:11:35,727 - root - INFO - Main - acquire a child logger and then log messages in the child
2023-03-22 20:11:35,727 - DiscoveryAppln - DEBUG - Main: parse command line arguments
2023-03-22 20:11:35,728 - DiscoveryAppln - DEBUG - Main: resetting log level to 20
2023-03-22 20:11:35,728 - DiscoveryAppln - INFO - DiscoveryAppln::configure
2023-03-22 20:11:35,729 - DiscoveryAppln - INFO - Pingu::readDhtJson - start
2023-03-22 20:11:35,729 - DiscoveryAppln - INFO - Pingu::readDhtJson - generate finger table
2023-03-22 20:11:35,729 - DiscoveryAppln - INFO - Pingu::setFingerTable - start
2023-03-22 20:11:35,729 - DiscoveryAppln - INFO - Pingu::getNextNode - 43131617558264
2023-03-22 20:11:35,729 - DiscoveryAppln - INFO - Pingu::getNextNode - 43131617558264
2023-03-22 20:11:35,729 - DiscoveryAppln - INFO - Pingu::setFingerTable - end
2023-03-22 20:11:35,729 - DiscoveryAppln - INFO - Pingu::readDhtJson - end
2023-03-22 20:11:35,729 - DiscoveryAppln - INFO - DiscoveryMW::configure
2023-03-22 20:11:35,730 - DiscoveryAppln - INFO - DiscoveryMW::configure completed
2023-03-22 20:11:35,730 - DiscoveryAppln - INFO - DiscoveryAppln::configure - configuration complete
2023-03-22 20:11:35,730 - DiscoveryAppln - INFO - DiscoveryAppln::driver
2023-03-22 20:11:35,730 - DiscoveryAppln - INFO - **********************************
2023-03-22 20:11:35,730 - DiscoveryAppln - INFO - DiscoveryAppln::dump
2023-03-22 20:11:35,730 - DiscoveryAppln - INFO -      Name: disc15
2023-03-22 20:11:35,730 - DiscoveryAppln - INFO -      Number of publishers: 5
2023-03-22 20:11:35,730 - DiscoveryAppln - INFO -      Number of subscribers: 5
2023-03-22 20:11:35,730 - DiscoveryAppln - INFO -      Number of brokers: 1
2023-03-22 20:11:35,730 - DiscoveryAppln - INFO -      Number of nodes in distributed hash table: 48
2023-03-22 20:11:35,730 - DiscoveryAppln - INFO -      Lookup: Centralized
2023-03-22 20:11:35,730 - DiscoveryAppln - INFO -      Dissemination: Direct
2023-03-22 20:11:35,730 - DiscoveryAppln - INFO - Finger Table for this entity:
2023-03-22 20:11:35,730 - DiscoveryAppln - INFO - Current node: 272676958156133, Successor node:43131617558264
2023-03-22 20:11:35,730 - DiscoveryAppln - INFO - Current node: 272676958156134, Successor node:43131617558264
2023-03-22 20:11:35,730 - DiscoveryAppln - INFO - Current node: 272676958156136, Successor node:43131617558264
2023-03-22 20:11:35,730 - DiscoveryAppln - INFO - Current node: 272676958156140, Successor node:43131617558264
2023-03-22 20:11:35,730 - DiscoveryAppln - INFO - Current node: 272676958156148, Successor node:43131617558264
2023-03-22 20:11:35,730 - DiscoveryAppln - INFO - Current node: 272676958156164, Successor node:43131617558264
2023-03-22 20:11:35,730 - DiscoveryAppln - INFO - Current node: 272676958156196, Successor node:43131617558264
2023-03-22 20:11:35,730 - DiscoveryAppln - INFO - Current node: 272676958156260, Successor node:43131617558264
2023-03-22 20:11:35,730 - DiscoveryAppln - INFO - Current node: 272676958156388, Successor node:43131617558264
2023-03-22 20:11:35,730 - DiscoveryAppln - INFO - Current node: 272676958156644, Successor node:43131617558264
2023-03-22 20:11:35,730 - DiscoveryAppln - INFO - Current node: 272676958157156, Successor node:43131617558264
2023-03-22 20:11:35,730 - DiscoveryAppln - INFO - Current node: 272676958158180, Successor node:43131617558264
2023-03-22 20:11:35,730 - DiscoveryAppln - INFO - Current node: 272676958160228, Successor node:43131617558264
2023-03-22 20:11:35,730 - DiscoveryAppln - INFO - Current node: 272676958164324, Successor node:43131617558264
2023-03-22 20:11:35,730 - DiscoveryAppln - INFO - Current node: 272676958172516, Successor node:43131617558264
2023-03-22 20:11:35,731 - DiscoveryAppln - INFO - Current node: 272676958188900, Successor node:43131617558264
2023-03-22 20:11:35,731 - DiscoveryAppln - INFO - Current node: 272676958221668, Successor node:43131617558264
2023-03-22 20:11:35,731 - DiscoveryAppln - INFO - Current node: 272676958287204, Successor node:43131617558264
2023-03-22 20:11:35,731 - DiscoveryAppln - INFO - Current node: 272676958418276, Successor node:43131617558264
2023-03-22 20:11:35,731 - DiscoveryAppln - INFO - Current node: 272676958680420, Successor node:43131617558264
